Gene,Non-unique Gene name,Annotation,GCA_000024945.1,GCA_002005185.1,GCA_002082765.1,GCA_013393365.1,GCA_016127175.1,GCA_018406505.1,GCA_028743475.1,GCA_031190775.1,GCA_032695835.1,GCA_036456085.1,GCA_042850485.1,GCA_900186885.1,GCA_900187285.1,GCA_900637515.1,GCA_902810435.1
group_1120,,hypothetical protein,OKNGDJCJ_01915,GFDNPGNJ_00567,BFBCFGIC_01884,AMGBDAFE_01940,KOCEJNFM_01859,POEAOIBB_01917,GCKDAGAE_01643,PDIMPFPI_01940,AGBEICAE_01096,HCNBPFHJ_01567,BBFLPEJG_01939,AEMNHECO_01914,ICLGGANE_01883,PAGOGBDJ_01986,LAOJDNKF_01964
rpsO,rpsO,30S ribosomal protein S15,OKNGDJCJ_00789,GFDNPGNJ_01402,BFBCFGIC_00738,AMGBDAFE_01075,KOCEJNFM_01060,POEAOIBB_01081,GCKDAGAE_00762,PDIMPFPI_01100,AGBEICAE_00210,HCNBPFHJ_00686,BBFLPEJG_00759,AEMNHECO_00789,ICLGGANE_00770,PAGOGBDJ_01163,LAOJDNKF_01175
group_1116,,hypothetical protein,OKNGDJCJ_00942,GFDNPGNJ_01558,BFBCFGIC_00894,AMGBDAFE_00925,KOCEJNFM_00907,POEAOIBB_00684,GCKDAGAE_00612,PDIMPFPI_00895,AGBEICAE_00037,HCNBPFHJ_00532,BBFLPEJG_00910,AEMNHECO_00942,ICLGGANE_00925,PAGOGBDJ_01014,LAOJDNKF_01022
cobT_2,cobT_2,Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,OKNGDJCJ_01508,GFDNPGNJ_00103,BFBCFGIC_01485,AMGBDAFE_01462,KOCEJNFM_00341,POEAOIBB_01480,GCKDAGAE_01144,PDIMPFPI_01487,AGBEICAE_00678,HCNBPFHJ_01081,BBFLPEJG_01529,AEMNHECO_01508,ICLGGANE_01534,PAGOGBDJ_01555,LAOJDNKF_01574
group_1110,,hypothetical protein,OKNGDJCJ_00784,GFDNPGNJ_01397,BFBCFGIC_00733,AMGBDAFE_01080,KOCEJNFM_01065,POEAOIBB_01086,GCKDAGAE_00767,PDIMPFPI_01105,AGBEICAE_00215,HCNBPFHJ_00691,BBFLPEJG_00754,AEMNHECO_00784,ICLGGANE_00765,PAGOGBDJ_01168,LAOJDNKF_01180
proS,proS,Proline--tRNA ligase,OKNGDJCJ_00892,GFDNPGNJ_01508,BFBCFGIC_00845,AMGBDAFE_00973,KOCEJNFM_00957,POEAOIBB_00634,GCKDAGAE_00661,PDIMPFPI_00945,AGBEICAE_00092,HCNBPFHJ_00582,BBFLPEJG_00860,AEMNHECO_00892,ICLGGANE_00874,PAGOGBDJ_01063,LAOJDNKF_01072
fmt,fmt,Methionyl-tRNA formyltransferase,OKNGDJCJ_00874,GFDNPGNJ_01490,BFBCFGIC_00827,AMGBDAFE_00991,KOCEJNFM_00975,POEAOIBB_00616,GCKDAGAE_00679,PDIMPFPI_00963,AGBEICAE_00110,HCNBPFHJ_00600,BBFLPEJG_00842,AEMNHECO_00874,ICLGGANE_00856,PAGOGBDJ_01081,LAOJDNKF_01090
rpsP,rpsP,30S ribosomal protein S16,OKNGDJCJ_00595,GFDNPGNJ_01219,BFBCFGIC_00048,AMGBDAFE_01259,KOCEJNFM_01254,POEAOIBB_01273,GCKDAGAE_00946,PDIMPFPI_01284,AGBEICAE_00435,HCNBPFHJ_00875,BBFLPEJG_00575,AEMNHECO_00595,ICLGGANE_00592,PAGOGBDJ_01347,LAOJDNKF_01367
group_1104,,hypothetical protein,OKNGDJCJ_00303,GFDNPGNJ_00873,BFBCFGIC_00335,AMGBDAFE_00291,KOCEJNFM_01546,POEAOIBB_00281,GCKDAGAE_01960,PDIMPFPI_00253,AGBEICAE_01424,HCNBPFHJ_01886,BBFLPEJG_00314,AEMNHECO_00303,ICLGGANE_00306,PAGOGBDJ_00280,LAOJDNKF_00305
secDF,secDF,Protein translocase subunit SecDF,OKNGDJCJ_00616,GFDNPGNJ_01240,BFBCFGIC_00069,AMGBDAFE_01239,KOCEJNFM_01233,POEAOIBB_01251,GCKDAGAE_00926,PDIMPFPI_01265,AGBEICAE_00411,HCNBPFHJ_00856,BBFLPEJG_00596,AEMNHECO_00616,ICLGGANE_00611,PAGOGBDJ_01327,LAOJDNKF_01348
ctsR,ctsR,Transcriptional regulator CtsR,OKNGDJCJ_01051,GFDNPGNJ_01663,BFBCFGIC_01006,AMGBDAFE_00824,KOCEJNFM_00798,POEAOIBB_00792,GCKDAGAE_00504,PDIMPFPI_00787,AGBEICAE_02040,HCNBPFHJ_00420,BBFLPEJG_01016,AEMNHECO_01051,ICLGGANE_01024,PAGOGBDJ_00860,LAOJDNKF_00917
fbiB_2~~~nfrA2_1~~~fbiB_1,fbiB_2;nfrA2_1;fbiB_1,Coenzyme F420:L-glutamate ligase;FMN reductase [NAD(P)H],OKNGDJCJ_01707,GFDNPGNJ_00346,BFBCFGIC_01710,AMGBDAFE_01716,KOCEJNFM_00143,POEAOIBB_01710,GCKDAGAE_01381,PDIMPFPI_01680,AGBEICAE_00905,HCNBPFHJ_01275,BBFLPEJG_01751,AEMNHECO_01706,ICLGGANE_01722,PAGOGBDJ_01793,LAOJDNKF_01768
group_1095,,putative AAA domain-containing protein,OKNGDJCJ_01235,GFDNPGNJ_01856,BFBCFGIC_01216,AMGBDAFE_00630,KOCEJNFM_00614,POEAOIBB_00986,GCKDAGAE_00299,PDIMPFPI_00590,AGBEICAE_01823,HCNBPFHJ_00170,BBFLPEJG_01206,AEMNHECO_01235,ICLGGANE_01271,PAGOGBDJ_00663,LAOJDNKF_00726
cbiH,cbiH,putative cobalt-factor III C(17)-methyltransferase,OKNGDJCJ_01170,GFDNPGNJ_01784,BFBCFGIC_01134,AMGBDAFE_00706,KOCEJNFM_00679,POEAOIBB_00915,GCKDAGAE_00380,PDIMPFPI_00667,AGBEICAE_01914,HCNBPFHJ_00302,BBFLPEJG_01137,AEMNHECO_01170,ICLGGANE_01199,PAGOGBDJ_00740,LAOJDNKF_00797
clpP,clpP,ATP-dependent Clp protease proteolytic subunit,OKNGDJCJ_01287,GFDNPGNJ_01909,BFBCFGIC_01271,AMGBDAFE_00573,KOCEJNFM_00562,POEAOIBB_01041,GCKDAGAE_00244,PDIMPFPI_00537,AGBEICAE_01758,HCNBPFHJ_00117,BBFLPEJG_01265,AEMNHECO_01287,ICLGGANE_01323,PAGOGBDJ_00610,LAOJDNKF_00667
rplK,rplK,50S ribosomal protein L11,OKNGDJCJ_01561,GFDNPGNJ_00155,BFBCFGIC_01538,AMGBDAFE_01516,KOCEJNFM_00289,POEAOIBB_01534,GCKDAGAE_01195,PDIMPFPI_01539,AGBEICAE_00734,HCNBPFHJ_01133,BBFLPEJG_01580,AEMNHECO_01560,ICLGGANE_01584,PAGOGBDJ_01608,LAOJDNKF_01626
metH,metH,Methionine synthase,OKNGDJCJ_01916,GFDNPGNJ_00568,BFBCFGIC_01885,AMGBDAFE_01941,KOCEJNFM_01858,POEAOIBB_01918,GCKDAGAE_01644,PDIMPFPI_01941,AGBEICAE_01097,HCNBPFHJ_01568,BBFLPEJG_01940,AEMNHECO_01915,ICLGGANE_01884,PAGOGBDJ_01987,LAOJDNKF_01965
group_1080,,hypothetical protein,OKNGDJCJ_01137,GFDNPGNJ_01751,BFBCFGIC_01098,AMGBDAFE_00737,KOCEJNFM_00712,POEAOIBB_00884,GCKDAGAE_00414,PDIMPFPI_00697,AGBEICAE_01950,HCNBPFHJ_00332,BBFLPEJG_01103,AEMNHECO_01137,ICLGGANE_01166,PAGOGBDJ_00772,LAOJDNKF_00830
pnp,pnp,Polyribonucleotide nucleotidyltransferase,OKNGDJCJ_00790,GFDNPGNJ_01403,BFBCFGIC_00739,AMGBDAFE_01074,KOCEJNFM_01059,POEAOIBB_00535,GCKDAGAE_00761,PDIMPFPI_01099,AGBEICAE_00209,HCNBPFHJ_00685,BBFLPEJG_00760,AEMNHECO_00790,ICLGGANE_00771,PAGOGBDJ_01162,LAOJDNKF_01174
tyrC~~~tyrC_1~~~tyrC_2,tyrC;tyrC_1;tyrC_2,Cyclohexadienyl dehydrogenase,OKNGDJCJ_01510;OKNGDJCJ_01509,GFDNPGNJ_00104,BFBCFGIC_01486,AMGBDAFE_01463,KOCEJNFM_00340,POEAOIBB_01481,GCKDAGAE_01145,PDIMPFPI_01488,AGBEICAE_00679,HCNBPFHJ_01082,BBFLPEJG_01530,AEMNHECO_01509,ICLGGANE_01535,PAGOGBDJ_01556,LAOJDNKF_01575
ychF~~~ychF_1~~~ychF_2,ychF;ychF_1;ychF_2,Ribosome-binding ATPase YchF,OKNGDJCJ_00329,GFDNPGNJ_00900,BFBCFGIC_00361,AMGBDAFE_00317,KOCEJNFM_01520,POEAOIBB_00310,GCKDAGAE_01987,PDIMPFPI_00280,AGBEICAE_01451;AGBEICAE_01450,HCNBPFHJ_01913,BBFLPEJG_00341,AEMNHECO_00329,ICLGGANE_00342,PAGOGBDJ_00307,LAOJDNKF_00332
apeA~~~apeA_2~~~apeA_1,apeA;apeA_2;apeA_1,putative M18 family aminopeptidase 1,OKNGDJCJ_00783,GFDNPGNJ_01396,BFBCFGIC_00732,AMGBDAFE_01081,KOCEJNFM_01066,POEAOIBB_01087,GCKDAGAE_00768,PDIMPFPI_01106,AGBEICAE_00217;AGBEICAE_00216,HCNBPFHJ_00692,BBFLPEJG_00753,AEMNHECO_00783,ICLGGANE_00764,PAGOGBDJ_01169,LAOJDNKF_01181
gmhB,gmhB,D-glycero-beta-D-manno-heptose-17-bisphosphate 7-phosphatase,OKNGDJCJ_00779,GFDNPGNJ_01392,BFBCFGIC_00728,AMGBDAFE_01085,KOCEJNFM_01070,POEAOIBB_01091,GCKDAGAE_00772,PDIMPFPI_01110,AGBEICAE_00221,HCNBPFHJ_00696,BBFLPEJG_00749,AEMNHECO_00779,ICLGGANE_00760,PAGOGBDJ_01173,LAOJDNKF_01185
ispG,ispG,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin),OKNGDJCJ_00891,GFDNPGNJ_01507,BFBCFGIC_00844,AMGBDAFE_00974,KOCEJNFM_00958,POEAOIBB_00633,GCKDAGAE_00662,PDIMPFPI_00946,AGBEICAE_00093,HCNBPFHJ_00583,BBFLPEJG_00859,AEMNHECO_00891,ICLGGANE_00873,PAGOGBDJ_01064,LAOJDNKF_01073
group_1063,,hypothetical protein,OKNGDJCJ_00875,GFDNPGNJ_01491,BFBCFGIC_00828,AMGBDAFE_00990,KOCEJNFM_00974,POEAOIBB_00617,GCKDAGAE_00678,PDIMPFPI_00962,AGBEICAE_00109,HCNBPFHJ_00599,BBFLPEJG_00843,AEMNHECO_00875,ICLGGANE_00857,PAGOGBDJ_01080,LAOJDNKF_01089
group_1062,,hypothetical protein,OKNGDJCJ_00596,GFDNPGNJ_01220,BFBCFGIC_00049,AMGBDAFE_01258,KOCEJNFM_01253,POEAOIBB_01272,GCKDAGAE_00945,PDIMPFPI_01283,AGBEICAE_00434,HCNBPFHJ_00874,BBFLPEJG_00576,AEMNHECO_00596,ICLGGANE_00593,PAGOGBDJ_01346,LAOJDNKF_01366
glmS,glmS,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],OKNGDJCJ_00304,GFDNPGNJ_00874,BFBCFGIC_00336,AMGBDAFE_00292,KOCEJNFM_01545,POEAOIBB_00282,GCKDAGAE_01961,PDIMPFPI_00254,AGBEICAE_01425,HCNBPFHJ_01887,BBFLPEJG_00315,AEMNHECO_00304,ICLGGANE_00307,PAGOGBDJ_00281,LAOJDNKF_00306
yqgN~~~ygfA,yqgN;ygfA,putative protein YqgN;5-formyltetrahydrofolate cyclo-ligase,OKNGDJCJ_00615,GFDNPGNJ_01239,BFBCFGIC_00068,AMGBDAFE_01240,KOCEJNFM_01234,POEAOIBB_01252,GCKDAGAE_00927,PDIMPFPI_01266,AGBEICAE_00412,HCNBPFHJ_00857,BBFLPEJG_00595,AEMNHECO_00615,ICLGGANE_00610,PAGOGBDJ_01328,LAOJDNKF_01349
speH,speH,S-adenosylmethionine decarboxylase proenzyme,OKNGDJCJ_01052,GFDNPGNJ_01664,BFBCFGIC_01007,AMGBDAFE_00823,KOCEJNFM_00797,POEAOIBB_00793,GCKDAGAE_00503,PDIMPFPI_00786,AGBEICAE_02039,HCNBPFHJ_00419,BBFLPEJG_01017,AEMNHECO_01052,ICLGGANE_01025,PAGOGBDJ_00859,LAOJDNKF_00916
sir_2~~~sir,sir_2;sir,Sulfite reductase [ferredoxin],OKNGDJCJ_01708,GFDNPGNJ_00347,BFBCFGIC_01711,AMGBDAFE_01717,KOCEJNFM_00142,POEAOIBB_01712,GCKDAGAE_01382,PDIMPFPI_01681,AGBEICAE_00906,HCNBPFHJ_01276,BBFLPEJG_01752,AEMNHECO_01707,ICLGGANE_01723,PAGOGBDJ_01794,LAOJDNKF_01769
ilvE~~~ilvK,ilvE;ilvK,Branched-chain-amino-acid aminotransferase;Branched-chain-amino-acid aminotransferase 2,OKNGDJCJ_00766,GFDNPGNJ_01379,BFBCFGIC_00715,AMGBDAFE_01098,KOCEJNFM_01083,POEAOIBB_01106,GCKDAGAE_00785,PDIMPFPI_01123,AGBEICAE_00236,HCNBPFHJ_00709,BBFLPEJG_00736,AEMNHECO_00766,ICLGGANE_00747,PAGOGBDJ_01186,LAOJDNKF_01198
aspS_4~~~aspS_3~~~aspS_2~~~aspS~~~aspS_1,aspS_4;aspS_3;aspS_2;aspS;aspS_1,Aspartate--tRNA(Asp/Asn) ligase;Aspartate--tRNA ligase,OKNGDJCJ_01236,GFDNPGNJ_01857,BFBCFGIC_01217,AMGBDAFE_00629,KOCEJNFM_00613,POEAOIBB_00987,GCKDAGAE_00298,PDIMPFPI_00589,AGBEICAE_01822;AGBEICAE_01819;AGBEICAE_01820;AGBEICAE_01821,HCNBPFHJ_00169,BBFLPEJG_01207,AEMNHECO_01236,ICLGGANE_01272,PAGOGBDJ_00662,LAOJDNKF_00725
cbiG,cbiG,Cobalt-precorrin-5A hydrolase,OKNGDJCJ_01171,GFDNPGNJ_01785,BFBCFGIC_01135,AMGBDAFE_00705,KOCEJNFM_00678,POEAOIBB_00916,GCKDAGAE_00379,PDIMPFPI_00666,AGBEICAE_01913,HCNBPFHJ_00301,BBFLPEJG_01138,AEMNHECO_01171,ICLGGANE_01200,PAGOGBDJ_00739,LAOJDNKF_00796
clpX,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,OKNGDJCJ_01286,GFDNPGNJ_01908,BFBCFGIC_01270,AMGBDAFE_00574,KOCEJNFM_00563,POEAOIBB_01040,GCKDAGAE_00245,PDIMPFPI_00538,AGBEICAE_01759,HCNBPFHJ_00118,BBFLPEJG_01264,AEMNHECO_01286,ICLGGANE_01322,PAGOGBDJ_00611,LAOJDNKF_00668
yitJ,yitJ,Bifunctional homocysteine S-methyltransferase/510-methylenetetrahydrofolate reductase,OKNGDJCJ_01917,GFDNPGNJ_00569,BFBCFGIC_01886,AMGBDAFE_01942,KOCEJNFM_01857,POEAOIBB_01919,GCKDAGAE_01645,PDIMPFPI_01942,AGBEICAE_01098,HCNBPFHJ_01569,BBFLPEJG_01941,AEMNHECO_01916,ICLGGANE_01885,PAGOGBDJ_01988,LAOJDNKF_01966
surE,surE,5'-nucleotidase SurE,OKNGDJCJ_01077,GFDNPGNJ_01689,BFBCFGIC_01033,AMGBDAFE_00798,KOCEJNFM_00772,POEAOIBB_00818,GCKDAGAE_00479,PDIMPFPI_00761,AGBEICAE_02014,HCNBPFHJ_00394,BBFLPEJG_01042,AEMNHECO_01077,ICLGGANE_01050,PAGOGBDJ_00834,LAOJDNKF_00891
group_1028,,hypothetical protein,OKNGDJCJ_01136,GFDNPGNJ_01750,BFBCFGIC_01097,AMGBDAFE_00738,KOCEJNFM_00713,POEAOIBB_00883,GCKDAGAE_00415,PDIMPFPI_00698,AGBEICAE_01951,HCNBPFHJ_00333,BBFLPEJG_01102,AEMNHECO_01136,ICLGGANE_01165,PAGOGBDJ_00773,LAOJDNKF_00831
dut_1~~~dut,dut_1;dut,Deoxyuridine 5'-triphosphate nucleotidohydrolase,OKNGDJCJ_00791,GFDNPGNJ_01404,BFBCFGIC_00740,AMGBDAFE_01073,KOCEJNFM_01058,POEAOIBB_00536,GCKDAGAE_00760,PDIMPFPI_01098,AGBEICAE_00208,HCNBPFHJ_00684,BBFLPEJG_00761,AEMNHECO_00791,ICLGGANE_00772,PAGOGBDJ_01161,LAOJDNKF_01173
korB,korB;,2-oxoglutarate oxidoreductase subunit KorB;hypothetical protein,OKNGDJCJ_01512,GFDNPGNJ_00106,BFBCFGIC_01490,AMGBDAFE_01467,KOCEJNFM_00338,POEAOIBB_01485,GCKDAGAE_01147,PDIMPFPI_01490,AGBEICAE_00684;AGBEICAE_00683,HCNBPFHJ_01084,BBFLPEJG_01531,AEMNHECO_01511,ICLGGANE_01536,PAGOGBDJ_01560,LAOJDNKF_01577
rfaQ_2~~~rfaF_3~~~rfaQ_1,rfaQ_2;rfaF_3;rfaQ_1,Lipopolysaccharide core heptosyltransferase RfaQ;ADP-heptose--LPS heptosyltransferase 2,OKNGDJCJ_00780,GFDNPGNJ_01393,BFBCFGIC_00729,AMGBDAFE_01084,KOCEJNFM_01069,POEAOIBB_01090,GCKDAGAE_00771,PDIMPFPI_01109,AGBEICAE_00220,HCNBPFHJ_00695,BBFLPEJG_00750,AEMNHECO_00780,ICLGGANE_00761,PAGOGBDJ_01172,LAOJDNKF_01184
polC_2~~~polC_1~~~polC_3,polC_2;polC_1;polC_3,DNA polymerase III PolC-type,OKNGDJCJ_00782,GFDNPGNJ_01395,BFBCFGIC_00731,AMGBDAFE_01082,KOCEJNFM_01067,POEAOIBB_01088,GCKDAGAE_00769,PDIMPFPI_01107,AGBEICAE_00218,HCNBPFHJ_00693,BBFLPEJG_00752,AEMNHECO_00782,ICLGGANE_00763,PAGOGBDJ_01170,LAOJDNKF_01182
hldD,hldD,ADP-L-glycero-D-manno-heptose-6-epimerase,OKNGDJCJ_00778,GFDNPGNJ_01391,BFBCFGIC_00727,AMGBDAFE_01086,KOCEJNFM_01071,POEAOIBB_01092,GCKDAGAE_00773,PDIMPFPI_01111,AGBEICAE_00222,HCNBPFHJ_00697,BBFLPEJG_00748,AEMNHECO_00778,ICLGGANE_00759,PAGOGBDJ_01174,LAOJDNKF_01186
tgt,tgt,Queuine tRNA-ribosyltransferase,OKNGDJCJ_00613,GFDNPGNJ_01237,BFBCFGIC_00066,AMGBDAFE_01242,KOCEJNFM_01236,POEAOIBB_01254,GCKDAGAE_00929,PDIMPFPI_01268,AGBEICAE_00414,HCNBPFHJ_00859,BBFLPEJG_00593,AEMNHECO_00613,ICLGGANE_00608,PAGOGBDJ_01330,LAOJDNKF_01351
rasP,rasP,Regulator of sigma-W protease RasP,OKNGDJCJ_00890,GFDNPGNJ_01506,BFBCFGIC_00843,AMGBDAFE_00975,KOCEJNFM_00959,POEAOIBB_00632,GCKDAGAE_00663,PDIMPFPI_00947,AGBEICAE_00094,HCNBPFHJ_00584,BBFLPEJG_00858,AEMNHECO_00890,ICLGGANE_00872,PAGOGBDJ_01065,LAOJDNKF_01074
rsmB,rsmB,Ribosomal RNA small subunit methyltransferase B,OKNGDJCJ_00876,GFDNPGNJ_01492,BFBCFGIC_00829,AMGBDAFE_00989,KOCEJNFM_00973,POEAOIBB_00618,GCKDAGAE_00677,PDIMPFPI_00961,AGBEICAE_00108,HCNBPFHJ_00598,BBFLPEJG_00844,AEMNHECO_00876,ICLGGANE_00858,PAGOGBDJ_01079,LAOJDNKF_01088
group_1010,,hypothetical protein,OKNGDJCJ_00597,GFDNPGNJ_01221,BFBCFGIC_00050,AMGBDAFE_01257,KOCEJNFM_01252,POEAOIBB_01271,GCKDAGAE_00944,PDIMPFPI_01282,AGBEICAE_00432;AGBEICAE_00433,HCNBPFHJ_00873,BBFLPEJG_00577,AEMNHECO_00597,ICLGGANE_00594,PAGOGBDJ_01345,LAOJDNKF_01365
rlmCD,rlmCD,23S rRNA (uracil-C(5))-methyltransferase RlmCD,OKNGDJCJ_00736,GFDNPGNJ_01361,BFBCFGIC_00694,AMGBDAFE_01117,KOCEJNFM_01113,POEAOIBB_01129,GCKDAGAE_00806,PDIMPFPI_01145,AGBEICAE_00281,HCNBPFHJ_00736,BBFLPEJG_00717,AEMNHECO_00736,ICLGGANE_00728,PAGOGBDJ_01206,LAOJDNKF_01227
trpS,trpS,Tryptophan--tRNA ligase,OKNGDJCJ_00305,GFDNPGNJ_00875,BFBCFGIC_00337,AMGBDAFE_00293,KOCEJNFM_01544,POEAOIBB_00283,GCKDAGAE_01962,PDIMPFPI_00255,AGBEICAE_01426,HCNBPFHJ_01888,BBFLPEJG_00316,AEMNHECO_00305,ICLGGANE_00308,PAGOGBDJ_00282,LAOJDNKF_00307
yajC,yajC,Sec translocon accessory complex subunit YajC,OKNGDJCJ_00614,GFDNPGNJ_01238,BFBCFGIC_00067,AMGBDAFE_01241,KOCEJNFM_01235,POEAOIBB_01253,GCKDAGAE_00928,PDIMPFPI_01267,AGBEICAE_00413,HCNBPFHJ_00858,BBFLPEJG_00594,AEMNHECO_00614,ICLGGANE_00609,PAGOGBDJ_01329,LAOJDNKF_01350
group_997,,5'-nucleotidase,OKNGDJCJ_01053,GFDNPGNJ_01665,BFBCFGIC_01008,AMGBDAFE_00822,KOCEJNFM_00796,POEAOIBB_00794,GCKDAGAE_00502,PDIMPFPI_00785,AGBEICAE_02038,HCNBPFHJ_00418,BBFLPEJG_01018,AEMNHECO_01053,ICLGGANE_01026,PAGOGBDJ_00858,LAOJDNKF_00915
tcyP,tcyP,L-cystine uptake protein TcyP,OKNGDJCJ_01709,GFDNPGNJ_00348,BFBCFGIC_01712,AMGBDAFE_01718,KOCEJNFM_00141,POEAOIBB_01713,GCKDAGAE_01383,PDIMPFPI_01682,AGBEICAE_00907,HCNBPFHJ_01277,BBFLPEJG_01753,AEMNHECO_01708,ICLGGANE_01724,PAGOGBDJ_01795,LAOJDNKF_01770
flK,flK,Fluoroacetyl-CoA thioesterase,OKNGDJCJ_00767,GFDNPGNJ_01380,BFBCFGIC_00716,AMGBDAFE_01097,KOCEJNFM_01082,POEAOIBB_01104,GCKDAGAE_00784,PDIMPFPI_01122,AGBEICAE_00235,HCNBPFHJ_00708,BBFLPEJG_00737,AEMNHECO_00767,ICLGGANE_00748,PAGOGBDJ_01185,LAOJDNKF_01197
panT,panT;,Pantothenic acid transporter PanT;hypothetical protein,OKNGDJCJ_00660,GFDNPGNJ_01284,BFBCFGIC_00619,AMGBDAFE_01195,KOCEJNFM_01189,POEAOIBB_01207,GCKDAGAE_00882,PDIMPFPI_01221,AGBEICAE_00359,HCNBPFHJ_00812,BBFLPEJG_00641,AEMNHECO_00660,ICLGGANE_00652,PAGOGBDJ_01283,LAOJDNKF_01303
hisS,hisS,Histidine--tRNA ligase,OKNGDJCJ_01237,GFDNPGNJ_01858,BFBCFGIC_01218,AMGBDAFE_00628,KOCEJNFM_00612,POEAOIBB_00988,GCKDAGAE_00297,PDIMPFPI_00588,AGBEICAE_01818,HCNBPFHJ_00168,BBFLPEJG_01208,AEMNHECO_01237,ICLGGANE_01273,PAGOGBDJ_00661,LAOJDNKF_00724
nikE~~~oppF_3~~~oppF_1~~~oppF_2,nikE;oppF_3;oppF_1;oppF_2,Nickel import ATP-binding protein NikE;Oligopeptide transport ATP-binding protein OppF,OKNGDJCJ_00092,GFDNPGNJ_00656,BFBCFGIC_00144,AMGBDAFE_00081,KOCEJNFM_01757,POEAOIBB_00073,GCKDAGAE_01742,PDIMPFPI_00035,AGBEICAE_01211,HCNBPFHJ_01663,BBFLPEJG_00089,AEMNHECO_00092,ICLGGANE_00100,PAGOGBDJ_00071,LAOJDNKF_00083
cbiF,cbiF,Cobalt-precorrin-4 C(11)-methyltransferase,OKNGDJCJ_01172,GFDNPGNJ_01786,BFBCFGIC_01136,AMGBDAFE_00704,KOCEJNFM_00677,POEAOIBB_00917,GCKDAGAE_00378,PDIMPFPI_00665,AGBEICAE_01912,HCNBPFHJ_00300,BBFLPEJG_01139,AEMNHECO_01172,ICLGGANE_01201,PAGOGBDJ_00738,LAOJDNKF_00795
lon1,lon1,Lon protease 1,OKNGDJCJ_01285,GFDNPGNJ_01907,BFBCFGIC_01269,AMGBDAFE_00575,KOCEJNFM_00564,POEAOIBB_01039,GCKDAGAE_00246,PDIMPFPI_00539,AGBEICAE_01760,HCNBPFHJ_00119,BBFLPEJG_01263,AEMNHECO_01285,ICLGGANE_01321,PAGOGBDJ_00612,LAOJDNKF_00669
grpE,grpE,Protein GrpE,OKNGDJCJ_00907,GFDNPGNJ_01523,BFBCFGIC_00859,AMGBDAFE_00959,KOCEJNFM_00942,POEAOIBB_00648,GCKDAGAE_00647,PDIMPFPI_00930,AGBEICAE_00076,HCNBPFHJ_00567,BBFLPEJG_00875,AEMNHECO_00907,ICLGGANE_00889,PAGOGBDJ_01049,LAOJDNKF_01057
rsmG,rsmG,Ribosomal RNA small subunit methyltransferase G,OKNGDJCJ_01918,GFDNPGNJ_00570,BFBCFGIC_01887,AMGBDAFE_01944,KOCEJNFM_01856,POEAOIBB_01920,GCKDAGAE_01646,PDIMPFPI_01943,AGBEICAE_01099,HCNBPFHJ_01570,BBFLPEJG_01942,AEMNHECO_01917,ICLGGANE_01886,PAGOGBDJ_01989,LAOJDNKF_01967
group_986,,Beta-monoglucosyldiacylglycerol synthase,OKNGDJCJ_01078,GFDNPGNJ_01690,BFBCFGIC_01034,AMGBDAFE_00797,KOCEJNFM_00771,POEAOIBB_00819,GCKDAGAE_00478,PDIMPFPI_00760,AGBEICAE_02013,HCNBPFHJ_00393,BBFLPEJG_01043,AEMNHECO_01078,ICLGGANE_01051,PAGOGBDJ_00833,LAOJDNKF_00890
ftsZ,ftsZ,Cell division protein FtsZ,OKNGDJCJ_01135,GFDNPGNJ_01749,BFBCFGIC_01096,AMGBDAFE_00739,KOCEJNFM_00714,POEAOIBB_00882,GCKDAGAE_00416,PDIMPFPI_00699,AGBEICAE_01952,HCNBPFHJ_00334,BBFLPEJG_01101,AEMNHECO_01135,ICLGGANE_01164,PAGOGBDJ_00774,LAOJDNKF_00832
korA,korA,2-oxoglutarate oxidoreductase subunit KorA,OKNGDJCJ_01513,GFDNPGNJ_00107,BFBCFGIC_01491,AMGBDAFE_01468,KOCEJNFM_00337,POEAOIBB_01486,GCKDAGAE_01148,PDIMPFPI_01491,AGBEICAE_00685,HCNBPFHJ_01085,BBFLPEJG_01532,AEMNHECO_01512,ICLGGANE_01537,PAGOGBDJ_01561,LAOJDNKF_01578
ddh~~~ddh_1~~~ddh_2,ddh;ddh_1;ddh_2,Meso-diaminopimelate D-dehydrogenase,OKNGDJCJ_00334,GFDNPGNJ_00902,BFBCFGIC_00363,AMGBDAFE_00318,KOCEJNFM_01515,POEAOIBB_00311,GCKDAGAE_01988,PDIMPFPI_00282,AGBEICAE_01454;AGBEICAE_01453,HCNBPFHJ_01915,BBFLPEJG_00343,AEMNHECO_00334,ICLGGANE_00344,PAGOGBDJ_00309,LAOJDNKF_00334
