Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
thrZ,thrZ,Threonine--tRNA ligase 2,15,15,1.0,1,2108,,,,1911,1911,1911.0,OKNGDJCJ_01200,GFDNPGNJ_01821,BFBCFGIC_01181,AMGBDAFE_00665,KOCEJNFM_00649,POEAOIBB_00954,GCKDAGAE_00331,PDIMPFPI_00625,AGBEICAE_01861,HCNBPFHJ_00259,BBFLPEJG_01171,AEMNHECO_01200,ICLGGANE_01236,PAGOGBDJ_00698,LAOJDNKF_00761
group_1228,,hypothetical protein,15,15,1.0,1,2106,,,,990,993,990.4,OKNGDJCJ_01201,GFDNPGNJ_01822,BFBCFGIC_01182,AMGBDAFE_00664,KOCEJNFM_00648,POEAOIBB_00955,GCKDAGAE_00330,PDIMPFPI_00624,AGBEICAE_01860,HCNBPFHJ_00258,BBFLPEJG_01172,AEMNHECO_01201,ICLGGANE_01237,PAGOGBDJ_00697,LAOJDNKF_00760
gltB,gltB,Ferredoxin-dependent glutamate synthase 1,15,15,1.0,1,2091,,,,4581,4584,4583.8,OKNGDJCJ_01697,GFDNPGNJ_00289,BFBCFGIC_01693,AMGBDAFE_01704,KOCEJNFM_00153,POEAOIBB_01700,GCKDAGAE_01369,PDIMPFPI_01670,AGBEICAE_00883,HCNBPFHJ_01265,BBFLPEJG_01741,AEMNHECO_01696,ICLGGANE_01712,PAGOGBDJ_01783,LAOJDNKF_01758
group_1219,,Iron hydrogenase 1,15,15,1.0,1,2089,,,,1470,1470,1470.0,OKNGDJCJ_01387,GFDNPGNJ_02007,BFBCFGIC_01369,AMGBDAFE_00473,KOCEJNFM_00462,POEAOIBB_00476,GCKDAGAE_00143,PDIMPFPI_00442,AGBEICAE_01657,HCNBPFHJ_00019,BBFLPEJG_01365,AEMNHECO_01387,ICLGGANE_01418,PAGOGBDJ_00462,LAOJDNKF_00546
rsmA,rsmA,Ribosomal RNA small subunit methyltransferase A,15,15,1.0,1,2087,,,,849,855,854.6,OKNGDJCJ_00648,GFDNPGNJ_01272,BFBCFGIC_00607,AMGBDAFE_01207,KOCEJNFM_01201,POEAOIBB_01219,GCKDAGAE_00895,PDIMPFPI_01233,AGBEICAE_00372,HCNBPFHJ_00824,BBFLPEJG_00629,AEMNHECO_00648,ICLGGANE_00640,PAGOGBDJ_01295,LAOJDNKF_01315
rluD_3~~~rluD_4~~~rluD_2,rluD_3;rluD_4;rluD_2,Ribosomal large subunit pseudouridine synthase D,15,15,1.0,1,2085,,,,819,888,866.8,OKNGDJCJ_01698,GFDNPGNJ_00290,BFBCFGIC_01701,AMGBDAFE_01705,KOCEJNFM_00152,POEAOIBB_01701,GCKDAGAE_01370,PDIMPFPI_01671,AGBEICAE_00895,HCNBPFHJ_01266,BBFLPEJG_01742,AEMNHECO_01697,ICLGGANE_01713,PAGOGBDJ_01784,LAOJDNKF_01759
gltS~~~gltS_2~~~gltS_1,gltS;gltS_2;gltS_1,Sodium/glutamate symporter,15,16,1.0666666666666667,1,2084,,,,486,1248,1166.4375,OKNGDJCJ_00649,GFDNPGNJ_01273,BFBCFGIC_00608,AMGBDAFE_01206,KOCEJNFM_01200,POEAOIBB_01218,GCKDAGAE_00894;GCKDAGAE_00893,PDIMPFPI_01232,AGBEICAE_00371,HCNBPFHJ_00823,BBFLPEJG_00630,AEMNHECO_00649,ICLGGANE_00641,PAGOGBDJ_01294,LAOJDNKF_01314
ettA~~~ettA_2~~~uup,ettA;ettA_2;uup,Energy-dependent translational throttle protein EttA;ABC transporter ATP-binding protein uup,15,16,1.0666666666666667,1,2079,,,,948,2058,1881.1875,OKNGDJCJ_01388,GFDNPGNJ_02008,BFBCFGIC_01370,AMGBDAFE_00472,KOCEJNFM_00461,POEAOIBB_00475,GCKDAGAE_00142,PDIMPFPI_00441,AGBEICAE_01656;AGBEICAE_01655,HCNBPFHJ_00018,BBFLPEJG_01366,AEMNHECO_01388,ICLGGANE_01419,PAGOGBDJ_00461,LAOJDNKF_00545
rnmV,rnmV,Ribonuclease M5,15,15,1.0,1,2076,,,,528,534,529.8,OKNGDJCJ_00647,GFDNPGNJ_01271,BFBCFGIC_00606,AMGBDAFE_01208,KOCEJNFM_01202,POEAOIBB_01220,GCKDAGAE_00896,PDIMPFPI_01234,AGBEICAE_00373,HCNBPFHJ_00825,BBFLPEJG_00628,AEMNHECO_00647,ICLGGANE_00639,PAGOGBDJ_01296,LAOJDNKF_01316
group_1211,,hypothetical protein,15,15,1.0,1,2073,,,,1194,1194,1194.0,OKNGDJCJ_01699,GFDNPGNJ_00291,BFBCFGIC_01702,AMGBDAFE_01706,KOCEJNFM_00151,POEAOIBB_01702,GCKDAGAE_01371,PDIMPFPI_01672,AGBEICAE_00896,HCNBPFHJ_01267,BBFLPEJG_01743,AEMNHECO_01698,ICLGGANE_01714,PAGOGBDJ_01785,LAOJDNKF_01760
rsmI,rsmI,Ribosomal RNA small subunit methyltransferase I,15,15,1.0,1,2072,,,,603,849,832.2,OKNGDJCJ_00637,GFDNPGNJ_01261,BFBCFGIC_00596,AMGBDAFE_01218,KOCEJNFM_01212,POEAOIBB_01230,GCKDAGAE_00906,PDIMPFPI_01244,AGBEICAE_00386,HCNBPFHJ_00835,BBFLPEJG_00618,AEMNHECO_00637,ICLGGANE_00629,PAGOGBDJ_01306,LAOJDNKF_01326
prfC,prfC,Peptide chain release factor 3,15,15,1.0,1,2068,,,,1596,1596,1596.0,OKNGDJCJ_00650,GFDNPGNJ_01274,BFBCFGIC_00609,AMGBDAFE_01205,KOCEJNFM_01199,POEAOIBB_01217,GCKDAGAE_00892,PDIMPFPI_01231,AGBEICAE_00370,HCNBPFHJ_00822,BBFLPEJG_00631,AEMNHECO_00650,ICLGGANE_00642,PAGOGBDJ_01293,LAOJDNKF_01313
group_1206,,hypothetical protein,15,15,1.0,1,2063,,,,321,321,321.0,OKNGDJCJ_01389,GFDNPGNJ_02009,BFBCFGIC_01371,AMGBDAFE_00471,KOCEJNFM_00460,POEAOIBB_00474,GCKDAGAE_00141,PDIMPFPI_00440,AGBEICAE_01654,HCNBPFHJ_00017,BBFLPEJG_01367,AEMNHECO_01389,ICLGGANE_01420,PAGOGBDJ_00460,LAOJDNKF_00544
group_1205,,hypothetical protein,15,15,1.0,1,2062,,,,270,270,270.0,OKNGDJCJ_00866,GFDNPGNJ_01482,BFBCFGIC_00820,AMGBDAFE_00998,KOCEJNFM_00983,POEAOIBB_00609,GCKDAGAE_00687,PDIMPFPI_00971,AGBEICAE_00118,HCNBPFHJ_00608,BBFLPEJG_00834,AEMNHECO_00866,ICLGGANE_00848,PAGOGBDJ_01089,LAOJDNKF_01098
group_1203,,hypothetical protein,15,15,1.0,1,2059,,,,813,813,813.0,OKNGDJCJ_00294,GFDNPGNJ_00865,BFBCFGIC_00328,AMGBDAFE_00278,KOCEJNFM_01555,POEAOIBB_00273,GCKDAGAE_01944,PDIMPFPI_00245,AGBEICAE_01415,HCNBPFHJ_01877,BBFLPEJG_00305,AEMNHECO_00294,ICLGGANE_00299,PAGOGBDJ_00272,LAOJDNKF_00292
cysB,cysB,HTH-type transcriptional regulator CysB,15,15,1.0,1,2058,,,,936,942,938.8,OKNGDJCJ_00646,GFDNPGNJ_01270,BFBCFGIC_00605,AMGBDAFE_01209,KOCEJNFM_01203,POEAOIBB_01221,GCKDAGAE_00897,PDIMPFPI_01235,AGBEICAE_00374,HCNBPFHJ_00826,BBFLPEJG_00627,AEMNHECO_00646,ICLGGANE_00638,PAGOGBDJ_01297,LAOJDNKF_01317
metG,metG,Methionine--tRNA ligase,15,15,1.0,1,2057,,,,1944,1950,1947.2,OKNGDJCJ_00638,GFDNPGNJ_01262,BFBCFGIC_00597,AMGBDAFE_01217,KOCEJNFM_01211,POEAOIBB_01229,GCKDAGAE_00905,PDIMPFPI_01243,AGBEICAE_00385,HCNBPFHJ_00834,BBFLPEJG_00619,AEMNHECO_00638,ICLGGANE_00630,PAGOGBDJ_01305,LAOJDNKF_01325
group_1201,,hypothetical protein,15,15,1.0,1,2054,,,,813,945,895.8,OKNGDJCJ_01700,GFDNPGNJ_00292,BFBCFGIC_01703,AMGBDAFE_01707,KOCEJNFM_00150,POEAOIBB_01703,GCKDAGAE_01372,PDIMPFPI_01673,AGBEICAE_00897,HCNBPFHJ_01268,BBFLPEJG_01744,AEMNHECO_01699,ICLGGANE_01715,PAGOGBDJ_01786,LAOJDNKF_01761
topB~~~topA_1,topB;topA_1,DNA topoisomerase 3;DNA topoisomerase 1,15,16,1.0666666666666667,1,2053,,,,396,2322,2169.9375,OKNGDJCJ_00651,GFDNPGNJ_01275,BFBCFGIC_00610,AMGBDAFE_01204,KOCEJNFM_01198,POEAOIBB_01216,GCKDAGAE_00891,PDIMPFPI_01230,AGBEICAE_00369;AGBEICAE_00368,HCNBPFHJ_00821,BBFLPEJG_00632,AEMNHECO_00651,ICLGGANE_00643,PAGOGBDJ_01292,LAOJDNKF_01312
recA,recA,Protein RecA,15,15,1.0,1,2052,,,,1041,1044,1041.4,OKNGDJCJ_01228,GFDNPGNJ_01849,BFBCFGIC_01209,AMGBDAFE_00637,KOCEJNFM_00621,POEAOIBB_00979,GCKDAGAE_00306,PDIMPFPI_00597,AGBEICAE_01830,HCNBPFHJ_00177,BBFLPEJG_01199,AEMNHECO_01228,ICLGGANE_01264,PAGOGBDJ_00670,LAOJDNKF_00733
gmk,gmk,Guanylate kinase,15,15,1.0,1,2046,,,,630,630,630.0,OKNGDJCJ_00867,GFDNPGNJ_01483,BFBCFGIC_00821,AMGBDAFE_00997,KOCEJNFM_00982,POEAOIBB_00610,GCKDAGAE_00686,PDIMPFPI_00970,AGBEICAE_00117,HCNBPFHJ_00607,BBFLPEJG_00835,AEMNHECO_00867,ICLGGANE_00849,PAGOGBDJ_01088,LAOJDNKF_01097
ugtP,ugtP,Processive diacylglycerol beta-glucosyltransferase,15,15,1.0,1,2045,,,,1152,1164,1156.0,OKNGDJCJ_01390,GFDNPGNJ_02010,BFBCFGIC_01372,AMGBDAFE_00470,KOCEJNFM_00459,POEAOIBB_00473,GCKDAGAE_00140,PDIMPFPI_00439,AGBEICAE_01653,HCNBPFHJ_00016,BBFLPEJG_01368,AEMNHECO_01390,ICLGGANE_01421,PAGOGBDJ_00458,LAOJDNKF_00543
pucA,pucA,putative xanthine dehydrogenase subunit A,15,15,1.0,1,2040,,,,729,732,729.4,OKNGDJCJ_00295,GFDNPGNJ_00866,BFBCFGIC_00329,AMGBDAFE_00279,KOCEJNFM_01554,POEAOIBB_00274,GCKDAGAE_01945,PDIMPFPI_00246,AGBEICAE_01416,HCNBPFHJ_01878,BBFLPEJG_00306,AEMNHECO_00295,ICLGGANE_00300,PAGOGBDJ_00273,LAOJDNKF_00293
metE,metE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,15,15,1.0,1,2038,,,,1122,1122,1122.0,OKNGDJCJ_00645,GFDNPGNJ_01269,BFBCFGIC_00604,AMGBDAFE_01210,KOCEJNFM_01204,POEAOIBB_01222,GCKDAGAE_00898,PDIMPFPI_01236,AGBEICAE_00375,HCNBPFHJ_00827,BBFLPEJG_00626,AEMNHECO_00645,ICLGGANE_00637,PAGOGBDJ_01298,LAOJDNKF_01318
dtd3~~~ycfH,dtd3;ycfH,D-aminoacyl-tRNA deacylase;putative metal-dependent hydrolase YcfH,15,15,1.0,1,2037,,,,771,771,771.0,OKNGDJCJ_00639,GFDNPGNJ_01263,BFBCFGIC_00598,AMGBDAFE_01216,KOCEJNFM_01210,POEAOIBB_01228,GCKDAGAE_00904,PDIMPFPI_01242,AGBEICAE_00384,HCNBPFHJ_00833,BBFLPEJG_00620,AEMNHECO_00639,ICLGGANE_00631,PAGOGBDJ_01304,LAOJDNKF_01324
mdtA,mdtA,Multidrug resistance protein MdtA,15,15,1.0,1,2035,,,,1113,1125,1117.8,OKNGDJCJ_01701,GFDNPGNJ_00293,BFBCFGIC_01704,AMGBDAFE_01708,KOCEJNFM_00149,POEAOIBB_01704,GCKDAGAE_01373,PDIMPFPI_01674,AGBEICAE_00898,HCNBPFHJ_01269,BBFLPEJG_01745,AEMNHECO_01700,ICLGGANE_01716,PAGOGBDJ_01787,LAOJDNKF_01762
cshE,cshE,DEAD-box ATP-dependent RNA helicase CshE,15,15,1.0,1,2033,,,,1299,1299,1299.0,OKNGDJCJ_00652,GFDNPGNJ_01276,BFBCFGIC_00611,AMGBDAFE_01203,KOCEJNFM_01197,POEAOIBB_01215,GCKDAGAE_00890,PDIMPFPI_01229,AGBEICAE_00367,HCNBPFHJ_00820,BBFLPEJG_00633,AEMNHECO_00652,ICLGGANE_00644,PAGOGBDJ_01291,LAOJDNKF_01311
cinA_1,cinA_1,Putative competence-damage inducible protein,15,15,1.0,1,2032,,,,1248,1251,1248.4,OKNGDJCJ_01229,GFDNPGNJ_01850,BFBCFGIC_01210,AMGBDAFE_00636,KOCEJNFM_00620,POEAOIBB_00980,GCKDAGAE_00305,PDIMPFPI_00596,AGBEICAE_01829,HCNBPFHJ_00176,BBFLPEJG_01200,AEMNHECO_01229,ICLGGANE_01265,PAGOGBDJ_00669,LAOJDNKF_00732
pspA,pspA,Phosphoserine phosphatase 1,15,15,1.0,1,2027,,,,639,639,639.0,OKNGDJCJ_00937,GFDNPGNJ_01553,BFBCFGIC_00889,AMGBDAFE_00930,KOCEJNFM_00912,POEAOIBB_00679,GCKDAGAE_00617,PDIMPFPI_00900,AGBEICAE_00042,HCNBPFHJ_00537,BBFLPEJG_00905,AEMNHECO_00937,ICLGGANE_00920,PAGOGBDJ_01019,LAOJDNKF_01027
hupA,hupA,DNA-binding protein HU 1,15,15,1.0,1,2026,,,,300,300,300.0,OKNGDJCJ_01391,GFDNPGNJ_02011,BFBCFGIC_01373,AMGBDAFE_00469,KOCEJNFM_00458,POEAOIBB_00472,GCKDAGAE_00139,PDIMPFPI_00438,AGBEICAE_01652,HCNBPFHJ_00015,BBFLPEJG_01369,AEMNHECO_01391,ICLGGANE_01422,PAGOGBDJ_00457,LAOJDNKF_00542
rpoZ,rpoZ,DNA-directed RNA polymerase subunit omega,15,15,1.0,1,2025,,,,216,216,216.0,OKNGDJCJ_00868,GFDNPGNJ_01484,BFBCFGIC_00822,AMGBDAFE_00996,KOCEJNFM_00981,POEAOIBB_00611,GCKDAGAE_00685,PDIMPFPI_00969,AGBEICAE_00116,HCNBPFHJ_00606,BBFLPEJG_00836,AEMNHECO_00868,ICLGGANE_00850,PAGOGBDJ_01087,LAOJDNKF_01096
group_1189,,hypothetical protein,15,15,1.0,1,2023,,,,315,315,315.0,OKNGDJCJ_00296,GFDNPGNJ_00867,BFBCFGIC_00330,AMGBDAFE_00280,KOCEJNFM_01553,POEAOIBB_00275,GCKDAGAE_01946,PDIMPFPI_00247,AGBEICAE_01417,HCNBPFHJ_01879,BBFLPEJG_00307,AEMNHECO_00296,ICLGGANE_00301,PAGOGBDJ_00274,LAOJDNKF_00294
gppA~~~gppA_2,gppA;gppA_2,Guanosine-5'-triphosphate3'-diphosphate pyrophosphatase,15,15,1.0,1,2020,,,,1539,1653,1561.4,OKNGDJCJ_00640,GFDNPGNJ_01264,BFBCFGIC_00599,AMGBDAFE_01215,KOCEJNFM_01209,POEAOIBB_01227,GCKDAGAE_00903,PDIMPFPI_01241,AGBEICAE_00383,HCNBPFHJ_00832,BBFLPEJG_00621,AEMNHECO_00640,ICLGGANE_00632,PAGOGBDJ_01303,LAOJDNKF_01323
msrAB1~~~msrAB,msrAB1;msrAB,Peptide methionine sulfoxide reductase MsrA/MsrB 1;Peptide methionine sulfoxide reductase MsrA/MsrB,15,15,1.0,1,2019,,,,936,954,939.6,OKNGDJCJ_00644,GFDNPGNJ_01268,BFBCFGIC_00603,AMGBDAFE_01211,KOCEJNFM_01205,POEAOIBB_01223,GCKDAGAE_00899,PDIMPFPI_01237,AGBEICAE_00376,HCNBPFHJ_00828,BBFLPEJG_00625,AEMNHECO_00644,ICLGGANE_00636,PAGOGBDJ_01299,LAOJDNKF_01319
group_1186,,putative oxidoreductase/MSMEI_2347,15,15,1.0,1,2018,,,,852,852,852.0,OKNGDJCJ_01702,GFDNPGNJ_00294,BFBCFGIC_01705,AMGBDAFE_01709,KOCEJNFM_00148,POEAOIBB_01705,GCKDAGAE_01374,PDIMPFPI_01675,AGBEICAE_00899,HCNBPFHJ_01270,BBFLPEJG_01746,AEMNHECO_01701,ICLGGANE_01717,PAGOGBDJ_01788,LAOJDNKF_01763
feoA,feoA;,Fe(2+) transport protein A;hypothetical protein,15,15,1.0,1,2015,,,,183,234,229.8,OKNGDJCJ_00653,GFDNPGNJ_01277,BFBCFGIC_00612,AMGBDAFE_01202,KOCEJNFM_01196,POEAOIBB_01214,GCKDAGAE_00889,PDIMPFPI_01228,AGBEICAE_00366,HCNBPFHJ_00819,BBFLPEJG_00634,AEMNHECO_00653,ICLGGANE_00645,PAGOGBDJ_01290,LAOJDNKF_01310
rimO_1~~~rimO,rimO_1;rimO,Ribosomal protein S12 methylthiotransferase RimO,15,15,1.0,1,2013,,,,1347,1347,1347.0,OKNGDJCJ_01230,GFDNPGNJ_01851,BFBCFGIC_01211,AMGBDAFE_00635,KOCEJNFM_00619,POEAOIBB_00981,GCKDAGAE_00304,PDIMPFPI_00595,AGBEICAE_01828,HCNBPFHJ_00175,BBFLPEJG_01201,AEMNHECO_01230,ICLGGANE_01266,PAGOGBDJ_00668,LAOJDNKF_00731
mtnW,mtnW,23-diketo-5-methylthiopentyl-1-phosphate enolase,15,15,1.0,1,2012,,,,1185,1191,1188.8,OKNGDJCJ_01292,GFDNPGNJ_01914,BFBCFGIC_01276,AMGBDAFE_00568,KOCEJNFM_00557,POEAOIBB_01046,GCKDAGAE_00239,PDIMPFPI_00532,AGBEICAE_01753,HCNBPFHJ_00112,BBFLPEJG_01270,AEMNHECO_01292,ICLGGANE_01328,PAGOGBDJ_00605,LAOJDNKF_00662
rsuA,rsuA,Ribosomal small subunit pseudouridine synthase A,15,15,1.0,1,2009,,,,699,705,699.8,OKNGDJCJ_00938,GFDNPGNJ_01554,BFBCFGIC_00890,AMGBDAFE_00929,KOCEJNFM_00911,POEAOIBB_00680,GCKDAGAE_00616,PDIMPFPI_00899,AGBEICAE_00041,HCNBPFHJ_00536,BBFLPEJG_00906,AEMNHECO_00938,ICLGGANE_00921,PAGOGBDJ_01018,LAOJDNKF_01026
coaBC_2~~~coaBC~~~coaBC_1,coaBC_2;coaBC;coaBC_1,Coenzyme A biosynthesis bifunctional protein CoaBC,15,16,1.0666666666666667,1,2008,,,,555,1206,1126.3125,OKNGDJCJ_00869,GFDNPGNJ_01485,BFBCFGIC_00823,AMGBDAFE_00995,KOCEJNFM_00980,POEAOIBB_00612,GCKDAGAE_00684,PDIMPFPI_00968,AGBEICAE_00114;AGBEICAE_00115,HCNBPFHJ_00605,BBFLPEJG_00837,AEMNHECO_00869,ICLGGANE_00851,PAGOGBDJ_01086,LAOJDNKF_01095
mazG,mazG,Nucleoside triphosphate pyrophosphohydrolase/pyrophosphatase MazG,15,15,1.0,1,2007,,,,771,813,778.2,OKNGDJCJ_01392,GFDNPGNJ_02012,BFBCFGIC_01374,AMGBDAFE_00468,KOCEJNFM_00457,POEAOIBB_00471,GCKDAGAE_00138,PDIMPFPI_00437,AGBEICAE_01651,HCNBPFHJ_00014,BBFLPEJG_01370,AEMNHECO_01392,ICLGGANE_01423,PAGOGBDJ_00456,LAOJDNKF_00541
cdaA~~~cdaA_1~~~cdaA_2,cdaA;cdaA_1;cdaA_2,Cyclic di-AMP synthase CdaA,15,16,1.0666666666666667,1,2003,,,,342,813,756.375,OKNGDJCJ_00297,GFDNPGNJ_00868,BFBCFGIC_00331,AMGBDAFE_00281,KOCEJNFM_01552,POEAOIBB_00276,GCKDAGAE_01947,PDIMPFPI_00248,AGBEICAE_01418;AGBEICAE_01419,HCNBPFHJ_01880,BBFLPEJG_00308,AEMNHECO_00297,ICLGGANE_00302,PAGOGBDJ_00275,LAOJDNKF_00295
gppA_1~~~ppx,gppA_1;ppx;,Guanosine-5'-triphosphate3'-diphosphate pyrophosphatase;Exopolyphosphatase;hypothetical protein,15,16,1.0666666666666667,1,1998,,,,513,1566,1467.9375,OKNGDJCJ_00641,GFDNPGNJ_01265,BFBCFGIC_00600,AMGBDAFE_01214,KOCEJNFM_01208,POEAOIBB_01226,GCKDAGAE_00902,PDIMPFPI_01240,AGBEICAE_00381;AGBEICAE_00382,HCNBPFHJ_00831,BBFLPEJG_00622,AEMNHECO_00641,ICLGGANE_00633,PAGOGBDJ_01302,LAOJDNKF_01322
yocH_2~~~yocH_1,yocH_2;;yocH_1,Cell wall-binding protein YocH;hypothetical protein,15,16,1.0666666666666667,1,1997,,,,357,978,916.125,OKNGDJCJ_00643,GFDNPGNJ_01267,BFBCFGIC_00602,AMGBDAFE_01212,KOCEJNFM_01206,POEAOIBB_01224,GCKDAGAE_00900,PDIMPFPI_01238,AGBEICAE_00378;AGBEICAE_00377,HCNBPFHJ_00829,BBFLPEJG_00624,AEMNHECO_00643,ICLGGANE_00635,PAGOGBDJ_01300,LAOJDNKF_01320
group_1177,,hypothetical protein,15,15,1.0,1,1996,,,,324,339,337.0,OKNGDJCJ_01703,GFDNPGNJ_00295,BFBCFGIC_01706,AMGBDAFE_01710,KOCEJNFM_00147,POEAOIBB_01706,GCKDAGAE_01375,PDIMPFPI_01676,AGBEICAE_00900,HCNBPFHJ_01271,BBFLPEJG_01747,AEMNHECO_01702,ICLGGANE_01718,PAGOGBDJ_01789,LAOJDNKF_01764
feoB,feoB,Fe(2+) transporter FeoB,15,15,1.0,1,1995,,,,2370,2373,2371.0,OKNGDJCJ_00654,GFDNPGNJ_01278,BFBCFGIC_00613,AMGBDAFE_01201,KOCEJNFM_01195,POEAOIBB_01213,GCKDAGAE_00888,PDIMPFPI_01227,AGBEICAE_00365,HCNBPFHJ_00818,BBFLPEJG_00635,AEMNHECO_00654,ICLGGANE_00646,PAGOGBDJ_01289,LAOJDNKF_01309
group_1176,,putative protein,15,15,1.0,1,1994,,,,1038,1089,1041.4,OKNGDJCJ_01231,GFDNPGNJ_01852,BFBCFGIC_01212,AMGBDAFE_00634,KOCEJNFM_00618,POEAOIBB_00982,GCKDAGAE_00303,PDIMPFPI_00594,AGBEICAE_01827,HCNBPFHJ_00174,BBFLPEJG_01202,AEMNHECO_01231,ICLGGANE_01267,PAGOGBDJ_00667,LAOJDNKF_00730
yycJ,yycJ,Putative metallo-hydrolase YycJ,15,15,1.0,1,1993,,,,807,819,808.2,OKNGDJCJ_01291,GFDNPGNJ_01913,BFBCFGIC_01275,AMGBDAFE_00569,KOCEJNFM_00558,POEAOIBB_01045,GCKDAGAE_00240,PDIMPFPI_00533,AGBEICAE_01754,HCNBPFHJ_00113,BBFLPEJG_01269,AEMNHECO_01291,ICLGGANE_01327,PAGOGBDJ_00606,LAOJDNKF_00663
metB_2,;metB_2,hypothetical protein;Cystathionine gamma-synthase;L-methionine gamma-lyase,15,15,1.0,1,1990,,,,1239,1239,1239.0,OKNGDJCJ_00901,GFDNPGNJ_01517,BFBCFGIC_00853,AMGBDAFE_00965,KOCEJNFM_00948,POEAOIBB_00642,GCKDAGAE_00653,PDIMPFPI_00936,AGBEICAE_00082,HCNBPFHJ_00573,BBFLPEJG_00869,AEMNHECO_00901,ICLGGANE_00883,PAGOGBDJ_01055,LAOJDNKF_01063
ypdF,ypdF,Aminopeptidase YpdF,15,15,1.0,1,1988,,,,1074,1074,1074.0,OKNGDJCJ_00939,GFDNPGNJ_01555,BFBCFGIC_00891,AMGBDAFE_00928,KOCEJNFM_00910,POEAOIBB_00681,GCKDAGAE_00615,PDIMPFPI_00898,AGBEICAE_00040,HCNBPFHJ_00535,BBFLPEJG_00907,AEMNHECO_00939,ICLGGANE_00922,PAGOGBDJ_01017,LAOJDNKF_01025
spoVB_2~~~spoVB_1,spoVB_2;spoVB_1,Stage V sporulation protein B,15,15,1.0,1,1987,,,,1605,1608,1607.6,OKNGDJCJ_01393,GFDNPGNJ_02013,BFBCFGIC_01375,AMGBDAFE_00467,KOCEJNFM_00456,POEAOIBB_00470,GCKDAGAE_00137,PDIMPFPI_00436,AGBEICAE_01650,HCNBPFHJ_00013,BBFLPEJG_01371,AEMNHECO_01393,ICLGGANE_01424,PAGOGBDJ_00455,LAOJDNKF_00540
metK,metK,S-adenosylmethionine synthase,15,15,1.0,1,1985,,,,1191,1191,1191.0,OKNGDJCJ_00871,GFDNPGNJ_01487,BFBCFGIC_00824,AMGBDAFE_00994,KOCEJNFM_00978,POEAOIBB_00613,GCKDAGAE_00682,PDIMPFPI_00966,AGBEICAE_00113,HCNBPFHJ_00603,BBFLPEJG_00839,AEMNHECO_00871,ICLGGANE_00853,PAGOGBDJ_01084,LAOJDNKF_01093
cdaR,cdaR,CdaA regulatory protein CdaR,15,15,1.0,1,1982,,,,918,927,924.0,OKNGDJCJ_00298,GFDNPGNJ_00869,BFBCFGIC_00332,AMGBDAFE_00282,KOCEJNFM_01551,POEAOIBB_00277,GCKDAGAE_01948,PDIMPFPI_00249,AGBEICAE_01420,HCNBPFHJ_01881,BBFLPEJG_00309,AEMNHECO_00298,ICLGGANE_00303,PAGOGBDJ_00276,LAOJDNKF_00296
rimO_2,rimO_2;,Ribosomal protein S12 methylthiotransferase RimO;hypothetical protein,15,15,1.0,1,1977,,,,1917,1983,1946.0,OKNGDJCJ_01232,GFDNPGNJ_01853,BFBCFGIC_01213,AMGBDAFE_00633,KOCEJNFM_00617,POEAOIBB_00983,GCKDAGAE_00302,PDIMPFPI_00593,AGBEICAE_01826,HCNBPFHJ_00173,BBFLPEJG_01203,AEMNHECO_01232,ICLGGANE_01268,PAGOGBDJ_00666,LAOJDNKF_00729
group_1168,,hypothetical protein,15,15,1.0,1,1976,,,,195,207,205.0,OKNGDJCJ_00655,GFDNPGNJ_01279,BFBCFGIC_00614,AMGBDAFE_01200,KOCEJNFM_01194,POEAOIBB_01212,GCKDAGAE_00887,PDIMPFPI_01226,AGBEICAE_00364,HCNBPFHJ_00817,BBFLPEJG_00636,AEMNHECO_00655,ICLGGANE_00647,PAGOGBDJ_01288,LAOJDNKF_01308
ppk~~~ppk_1~~~ppk_2,ppk;ppk_1;ppk_2,Polyphosphate kinase,15,16,1.0666666666666667,1,1975,,,,504,2118,1983.1875,OKNGDJCJ_00642,GFDNPGNJ_01266,BFBCFGIC_00601,AMGBDAFE_01213,KOCEJNFM_01207,POEAOIBB_01225,GCKDAGAE_00901,PDIMPFPI_01239,AGBEICAE_00380;AGBEICAE_00379,HCNBPFHJ_00830,BBFLPEJG_00623,AEMNHECO_00642,ICLGGANE_00634,PAGOGBDJ_01301,LAOJDNKF_01321
metQ_2~~~metQ_3~~~metQ_1,metQ_2;metQ_3;metQ_1,D-methionine-binding lipoprotein MetQ,15,15,1.0,1,1974,,,,813,819,818.6,OKNGDJCJ_01706,GFDNPGNJ_00345,BFBCFGIC_01709,AMGBDAFE_01713,KOCEJNFM_00144,POEAOIBB_01709,GCKDAGAE_01378,PDIMPFPI_01679,AGBEICAE_00903,HCNBPFHJ_01274,BBFLPEJG_01750,AEMNHECO_01705,ICLGGANE_01721,PAGOGBDJ_01792,LAOJDNKF_01767
